Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
CARE Ratings Ltd,CARERATING,Stock Exchanges & Ratings,1416.642475,480.85,17.19852465
Future Consumer Ltd,FCONSUMER,FMCG - Foods,1411.115481,7.15,-4.462081993
JMC Projects (India) Ltd,JMCPROJECT,Construction & Engineering,1407.045325,83.8,1162.846198
J Kumar Infraprojects Ltd,JKIL,Construction & Engineering,1397.163568,184.65,7.610652404
ITD Cementation India Ltd,ITDCEM,Construction & Engineering,1395.77412,81.25,32.34710313
Safari Industries (India) Ltd,SAFARI,Apparel & Accessories,1379.679995,616.3,44.88614545
Arvind Fashions Ltd,ARVINDFASN,Textiles,1379.62624,139.8,-2.40827722
TVS Srichakra Ltd,TVSSRICHAK,Tires & Rubber,1378.230715,1799.95,16.73828898
R Systems International Ltd,RSYSTEMS,IT Services & Consulting,1371.03366,114.6,16.68122271
Capacite Infraprojects Ltd,CAPACITE,Construction & Engineering,1362.921802,200.75,14.97058219
Stylam Industries Ltd,STYLAMIND,,1360.590257,802.8,35.83362834
Apollo Pipes Ltd,APOLLOPIPE,Building Products - Pipes,1359.937838,1045.35,45.98844322
India Glycols Ltd,INDIAGLYCO,Commodity Chemicals,1359.20985,439,11.85219611
Accelya Solutions India Ltd,ACCELYA,Software Services,1348.886207,903.7,15.53900335
IFGL Refractories Ltd,IFGLEXPOR,Industrial Machinery,1347.690072,373.95,69.25437165
Reliance Power Ltd,RPOWER,Power Generation,1346.460704,4.8,-0.33029093
Mukand Ltd,MUKANDLTD,Iron & Steel,1339.820533,94.75,-5.585378243
Prataap Snacks Ltd,DIAMONDYD,Packaged Foods & Meats,1336.705787,569.95,28.49507003
Electrosteel Castings Ltd,ELECTCAST,Building Products - Pipes,1333.500504,30.8,8.016843497
Kotak Gold ETF,KOTAKGOLD,Gold,1324.622485,407.8,
Gati Ltd,GATI,Logistics,1317.626281,108.05,-15.90512244
Hindustan Oil Exploration Company Ltd,HINDOILEXP,Oil & Gas - Exploration & Production,1316.481942,99.55,9.509302
Kirloskar Industries Ltd,KIRLOSIND,Investment Banking & Brokerage,1315.469331,1354.95,13.71852468
3i Infotech Ltd,3IINFOTECH,IT Services & Consulting,1301.407167,8.05,19.24867831
Manali Petrochemicals Ltd,MANALIPETC,Specialty Chemicals,1294.294198,75.25,27.75015973
Sunflag Iron and Steel Co Ltd,SUNFLAG,Iron & Steel,1288.569053,71.5,13.99857744
Dhampur Sugar Mills Ltd,DHAMPURSUG,Sugar,1287.587308,193.95,5.975892772
Sandhar Technologies Ltd,SANDHAR,Auto Parts,1285.071616,213.5,22.58484798
Kesoram Industries Ltd,KESORAMIND,Tires & Rubber,1276.463836,77.45,-6.117529887
Genus Power Infrastructures Ltd,GENUSPOWER,Electronic Equipments,1275.213672,49.55,15.6828797
Kovai Medical Center and Hospital Ltd,KOVAI,,1273.351029,1163.7,13.46321663
India Power Corporation Ltd,DPSCLTD,Power Generation,1261.057584,12.95,95.31803354
Omaxe Ltd,OMAXE,Real Estate,1251.954196,68.45,-12.87753751
SMS Pharmaceuticals Ltd,SMSPHARMA,Pharmaceuticals,1247.770922,147.4,39.52394432
Ganesha Ecosphere Ltd,GANECOS,Textiles,1246.676863,571.1,19.58028683
Quick Heal Technologies Ltd,QUICKHEAL,IT Services & Consulting,1241.780167,193.4,17.51141521
Usha Martin Ltd,USHAMART,Iron & Steel,1240.299981,40.7,2.968073834
KCP Ltd,KCP,Cement,1227.329443,95.2,45.23882946
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches",1226.339266,26.35,12.5341112
Hindustan Construction Company Ltd,HCC,Construction & Engineering,1225.552878,8.1,6.219973963
Cosmo Films Ltd,COSMOFILMS,Packaging,1221.260735,685.35,11.7447603
Bodal Chemicals Ltd,BODALCHEM,Commodity Chemicals,1219.631745,99.7,13.90188277
Confidence Petroleum India Ltd,CONFIPET,Oil & Gas - Storage & Transportation,1214.150971,42.75,22.33202261
Geojit Financial Services Ltd,GEOJITFSL,Investment Banking & Brokerage,1208.556763,50.7,25.68932029
Sharda Motor Industries Ltd,SHARDAMOTR,Auto Parts,1200.622683,2019.1,22.92139524
Shalby Ltd,SHALBY,Hospitals & Diagnostic Centres,1199.576719,112.1,43.30434627
Future Lifestyle Fashions Ltd,FLFL,Retail - Apparel,1198.39551,59.5,-22.2307745
Kotak Nifty 50 ETF,KOTAKNIFTY,Equity,1197.293658,154.91,
Sundaram Finance Holdings Ltd,SUNDARMHLD,Diversified Financials,1195.231533,79.1,15.29798455
PTC India Financial Services Ltd,PFS,Specialized Finance,1194.647003,18.6,10.8604273
Gallantt Ispat Ltd,GALLISPAT,Iron & Steel,1192.974042,42.25,19.69904297
Nava Bharat Ventures Ltd,NBVENTURES,Conglomerates,1190.938764,76.15,3.416731549
Dolat Investments Ltd,DOLAT,Investment Banking & Brokerage,1189.76,67.6,16.74774775
Gujarat Industries Power Company Ltd,GIPCL,Power Generation,1188.078082,78.55,4.791023799
Asian Star Co Ltd,ASTAR,,1187.544492,741.9,18.72507871
Cigniti Technologies Ltd,CIGNITITEC,Software Services,1183.00478,422.2,9.636737221
Onmobile Global Ltd,ONMOBILE,Software Services,1167.223816,111.7,42.80734504
Aarti Surfactants Ltd,AARTISURF,Specialty Chemicals,1163.800073,1534.45,281.6039239
NXTDigital Ltd,NXTDIGITAL,Movies & TV Serials,1157.341723,481.2,-5.873349589
Lumax AutoTechnologies Ltd,LUMAXTECH,Auto Parts,1153.909946,169.3,19.88822716
Mold-Tek Packaging Ltd,MOLDTKPAC,Plastic Products,1152.172038,414.95,30.92464662
Sandur Manganese and Iron Ores Ltd,SANDUMA,,1144.28173,1271.15,7.546348124
Steel Strips Wheels Ltd,SSWL,Auto Parts,1143.783914,732.75,48.73450226
Sanghi Industries Ltd,SANGHIIND,Cement,1140.795,45.45,17.45669472
Butterfly Gandhimathi Appliances Ltd,BUTTERFLY,Home Electronics & Appliances,1135.083295,634.85,284.4820289
MM Forgings Ltd,MMFL,Iron & Steel,1132.80704,469.25,27.16563645
Andrew Yule & Co Ltd,ANDREWYU,,1129.476759,23.1,-55.01591618
Seamec Ltd,SEAMECLTD,Oil & Gas - Equipment & Services,1120.47975,440.7,8.408853659
Voltamp Transformers Ltd,VOLTAMP,Heavy Electrical Equipments,1119.813427,1106.85,12.5286801
MPS Ltd,MPSLTD,Publishing,1118.484361,619.65,19.27481737
BF Investment Ltd,BFINVEST,Asset Management,1117.975199,296.8,7.746502211
Mahanagar Telephone Nigam Ltd,MTNL,Telecom Services,1111.95,17.65,-0.301037163
Punjab Chemicals and Crop Protection Ltd,PUNJABCHEM,Diversified Chemicals,1106.723507,902.55,102.9510239
Jet Airways (India) Ltd,JETAIRWAYS,Airlines,1105.870524,97.35,-0.389192322
Best Agrolife Ltd,BESTAGRO,Diversified Chemicals,1102.704903,416.1,110.7191143
Sadbhav Engineering Ltd,SADBHAV,Construction & Engineering,1100.626682,64.15,1.388207812
Ashapura Minechem Ltd,ASHAPURMIN,Metals - Diversified,1100.37414,126.5,2.838283525
Wonderla Holidays Ltd,WONDERLA,Theme Parks & Gaming,1099.555919,194.5,16.96812475
Yaarii Digital Integrated Services Ltd,YAARII,Business Support Services,1096.917987,122.8,-3.711697585
Excel Industries Ltd,EXCELINDUS,Fertilizers & Agro Chemicals,1091.136066,868,11.35771901
HSIL Ltd,HSIL,Building Products - Ceramics,1087.605165,167.45,57.68107502
Wheels India Ltd,WHEELS,Auto Parts,1083.506724,450.25,22.08533885
Ester Industries Ltd,ESTER,Commodity Chemicals,1080.783117,129.6,10.86323366
Optiemus Infracom Ltd,OPTIEMUS,Technology Hardware,1079.113452,125.75,-12.71789572
Centrum Capital Ltd,CENTRUM,Diversified Financials,1076.797524,27.15,78.22227112
GOCL Corp Ltd,GOCLCORP,Commodity Chemicals,1072.252959,216.3,21.62236255
NRB Bearings Ltd,NRBBEARING,Industrial Machinery,1068.571665,110.25,33.31997708
Vidhi Specialty Food Ingredients Ltd,VIDHIING,Commodity Chemicals,1065.32685,213.3,31.43502462
Dredging Corporation of India Ltd,DREDGECORP,Dredging,1061.48,379.1,192.646098
Astra Micro Wave Products Ltd,ASTRAMICRO,Communication & Networking,1061.426077,122.55,24.10140956
Igarashi Motors India Ltd,IGARASHI,Auto Parts,1055.043609,335.2,35.29754463
Kewal Kiran Clothing Ltd,KKCL,Apparel & Accessories,1048.429272,850.65,14.3581111
Banco Products (India) Ltd,BANCOINDIA,Auto Parts,1045.960256,146.25,13.66018357
Bliss GVS Pharma Ltd,BLISSGVS,Pharmaceuticals,1045.391521,101.35,10.74842197
Suven Life Sciences Ltd,SUVEN,Pharmaceuticals,1040.534258,81.75,-115.0766615
Seshasayee Paper and Boards Ltd,SESHAPAPER,Paper Products,1032.110111,163.65,5.648588612
Fairchem Organics Ltd,FAIRCHEMOR,Specialty Chemicals,1031.841379,792.45,
Digispice Technologies Ltd,DIGISPICE,Telecom Equipments,1028.925687,45.05,-20.83224474
Shanthi Gears Ltd,SHANTIGEAR,Auto Parts,1028.759589,134.1,42.17088482
Balmer Lawrie Investments Ltd,BLIL,,1021.740292,460.3,9.663674379
Sirca Paints India Ltd,SIRCA,Paints,1020.8139,372.5,40.57329524
Vindhya Telelinks Ltd,VINDHYATEL,Telecom Equipments,1020.063033,860.75,4.29663044
Panama Petrochem Ltd,PANAMAPET,Specialty Chemicals,1019.619594,168.55,35.41575527
Ngl Fine Chem Ltd,NGLFINE,,1019.095949,1649.55,122.047419
Manorama Industries Ltd,MANORAMA,,1016.200741,913.2,43.57636111
Tamilnadu Newsprint & Papers Ltd,TNPL,Paper Products,1016.011608,146.8,7.833149546
National Standard (India) Ltd,NATIONSTD,,1010,505,154.6707504
Shankara Building Products Ltd,SHANKARA,Building Products - Pipes,1008.22651,441.25,25.28150727
Indo Rama Synthetics (India) Ltd,INDORAMA,Textiles,1000.063368,38.3,-2.657226159
Ruchi Soya Industries Ltd,RUCHI,Packaged Foods & Meats,19420.4829,656.45,2.66204884
LIC Housing Finance Ltd,LICHSGFIN,Home Financing,19336.16285,383.15,8.045805633
Torrent Power Ltd,TORNTPOWER,Power Transmission & Distribution,19224.67136,400,16.37326693
Tata Chemicals Ltd,TATACHEM,Diversified Chemicals,19114.36354,750.3,4.501195642
Coforge Ltd,COFORGE,IT Services & Consulting,18894.51219,3118.3,43.64160334
Alembic Pharmaceuticals Ltd,APLLTD,Pharmaceuticals,18878.90524,960.45,21.84552853
Sanofi India Ltd,SANOFI,Pharmaceuticals,18641.44606,8094.2,39.03150347
Aavas Financiers Ltd,AAVAS,Home Financing,18269.57911,2171.55,68.19851173
Endurance Technologies Ltd (CN),ENDURANCE,Auto Parts,18218.65207,1295.2,32.21461271
Tata Elxsi Ltd,TATAELXSI,Software Services,18164.48064,2916.75,70.92729651
AIA Engineering Ltd,AIAENG,Industrial Machinery,17939.73437,1902,30.38778775
Bharat Heavy Electricals Ltd,BHEL,Heavy Electrical Equipments,17932.62628,45.05,-10.70026495
Sun Tv Network Ltd,SUNTV,TV Channels & Broadcasters,17887.5009,453.9,12.91367127
Bata India Ltd,BATAINDIA,Footwear,17880.75136,1305.9,51.02575378
Gillette India Ltd,GILLETTE,FMCG - Personal Products,17680.08704,5425.8,76.80983161
Mindspace Business Parks REIT,MINDSPACE,Real Estate,17664.23259,297.87,3.836834292
Aditya Birla Fashion and Retail Ltd,ABFRL,Retail - Apparel,17396.29434,172.9,-83.27246262
Zee Entertainment Enterprises Ltd,ZEEL,TV Channels & Broadcasters,17394.73604,181.1,33.0371288
Godrej Industries Ltd,GODREJIND,Diversified Chemicals,17162.78,510,31.07262988
Indian Bank,INDIANB,Public Banks,17047.65577,104.7,6.619218693
Natco Pharma Ltd,NATCOPHARM,Pharmaceuticals,16810.63578,917.95,36.33696051
City Union Bank Ltd,CUB,Private Banks,16784.41145,159.6,24.65753556
Jubilant Pharmova Ltd,JUBLPHARMA,Pharmaceuticals,16737.70065,734.7,15.01508017
Escorts Ltd,ESCORTS,Tractors,16721.48937,1216,31.56241051
Schaeffler India Ltd,SCHAEFFLER,Auto Parts,16632.42983,5126.95,55.08204288
Dhani Services Ltd,DHANI,Investment Banking & Brokerage,16540.71531,211.35,2814.85635
JSW Energy Ltd,JSWENERGY,Power Generation,16496.42135,92.9,13.86324992
Hatsun Agro Product Ltd,HATSUN,FMCG - Foods,16339.69988,747.8,143.5989356
APL Apollo Tubes Ltd,APLAPOLLO,Building Products - Pipes,16283.316,1230.3,62.96956854
Bank of Maharashtra Ltd,MAHABANK,Public Banks,16236.39328,22.85,24.56949526
Indiabulls Ventures Ltd Partly Paid Up,DHANIPP,,16119.82529,108.95,
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals,16103.89159,1609.3,49.54979115
Wabco India Ltd,WABCOINDIA,Auto Parts,16038.27976,6045.1,72.20462345
Graphite India Ltd,GRAPHITE,Electrical Components & Equipments,16027.22202,583.95,253.7579584
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals,15861.0714,1258.8,42.59390541
Exide Industries Ltd,EXIDEIND,Batteries,15831.25,176.3,19.29256518
Fortis Healthcare Ltd,FORTIS,Hospitals & Diagnostic Centres,15699.35469,205.95,268.3059552
UCO Bank,UCOBANK,Public Banks,15686.69541,11.15,-3.509881402
Linde India Ltd,LINDEINDIA,Commodity Chemicals,15577.97544,1761.7,99.41873589
Indigo Paints Ltd,INDIGOPNTS,Paints,15548.36306,2275.95,137.7231745
Federal Bank Ltd,FEDERALBNK,Private Banks,15510.10685,71.2,8.961359304
Persistent Systems Ltd,PERSISTENT,Software Services,15454.25414,2022.85,46.2332595
Thermax Limited,THERMAX,Industrial Machinery,15423.73123,1339.5,71.003815
Gujarat State Petronet Ltd,GSPL,Gas Distribution,15377.58105,255.45,8.332450761
Mahanagar Gas Ltd,MGL,Gas Distribution,15365.95488,1080.85,13.45481555
Sundram Fasteners Ltd,SUNDRMFAST,Auto Parts,15358.28256,697.35,45.10234812
Kajaria Ceramics Ltd,KAJARIACER,Building Products - Ceramics,15259.84493,899,55.96656141
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,Diversified Financials,15256.52109,567.5,19.33776798
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches",15256.08208,494.25,12.10222293
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals,15195.01338,2939.55,35.59111117
SKF India Ltd,SKFINDIA,Industrial Machinery,15084.7605,2148.1,36.74787651
Amber Enterprises India Ltd,AMBER,Home Electronics & Appliances,15051.34232,3135.4,62.24195538
IIFL Wealth Management Ltd,IIFLWAM,Asset Management,15024.48228,1178.75,50.28320211
GMR Infrastructure Ltd,GMRINFRA,Construction & Engineering,14999.32401,23.4,-5.813875122
Minda Industries Ltd,MINDAIND,Auto Parts,14990.06981,519.2,88.30627339
Alok Industries Ltd,ALOKINDS,Textiles,14989.96309,20.75,2.825731164
Akzo Nobel India Ltd,AKZOINDIA,Specialty Chemicals,14985.5,2259.55,43.34482582
Ajanta Pharma Ltd,AJANTPHARM,Pharmaceuticals,14960.91037,1708.9,32.16255031
Glenmark Pharmaceuticals Ltd,GLENMARK,Pharmaceuticals,14945.03638,497.95,18.10732941
Procter & Gamble Health Ltd,PGHL,Pharmaceuticals,14787.41418,6198.05,40.49267932
Timken India Ltd,TIMKEN,Industrial Machinery,14653.30188,1366.7,41.7722242
Sumitomo Chemical India Ltd,SUMICHEM,Commodity Chemicals,14637.44871,279.6,52.84478459
KEC International Ltd,KEC,Construction & Engineering,14593.22347,398.35,18.10920077
TTK Prestige Ltd,TTKPRESTIG,Home Electronics & Appliances,14551.71904,7314.05,54.63328675
Aegis Logistics Ltd,AEGISCHEM,Oil & Gas - Storage & Transportation,14412.7796,288.25,97.49516027
Vaibhav Global Ltd,VAIBHAVGBL,Apparel & Accessories,14381.03582,4225.9,72.11689255
Indian Energy Exchange Ltd,IEX,Power Trading & Consultancy,14301.3819,337.85,57.70328427
ITI Ltd,ITI,Telecom Equipments,14212.60757,107.95,65.19648687
Apollo Tyres Limited,APOLLOTYRE,Tires & Rubber,14194.50614,203.5,24.43580414
IIFL Finance Ltd,IIFL,Investment Banking & Brokerage,14124.11194,264.3,26.67625609
Affle (India) Ltd,AFFLE,Advertising,14123.20257,5238.35,199.0152501
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipments,14118.53831,74.65,-2.16674418
V Guard Industries Ltd,VGUARD,Electrical Components & Equipments,14050.56333,231.6,52.92857925
Central Bank of India Ltd,CENTRALBK,Public Banks,13956.11478,16.9,-6.565663273
Amara Raja Batteries Ltd,AMARAJABAT,Batteries,13939.15406,799.45,20.66526228
National Aluminium Co Ltd,NATIONALUM,Metals - Aluminium,13749.04003,53.7,73.54008636
SJVN Ltd,SJVN,Renewable Energy,13655.60531,24.65,5.850876463
CPSE ETF,CPSEETF,Equity,13576.45822,21.36,
Godrej Agrovet Ltd,GODREJAGRO,Agro Products,13458.83478,504.05,31.61285551
Tanla Platforms Ltd,TANLA,Software Services,13407.07233,936.45,-58.00121689
CRISIL Ltd,CRISIL,Stock Exchanges & Ratings,13391.18731,1812.65,37.02092629
Sheela Foam Ltd,SFL,Home Furnishing,13355.88941,1983.7,50.02866992
Zydus Wellness Ltd,ZYDUSWELL,FMCG - Foods,13347.16036,2115.1,86.06084602
Hindustan Copper Ltd,HINDCOPPER,Mining - Copper,13304.63484,131.25,-21.32344071
Manappuram Finance Ltd,MANAPPURAM,Consumer Finance,13296.38989,145.45,8.362832353
Grindwell Norton Ltd,GRINDWELL,Industrial Machinery,13174.59669,869.75,52.76063993
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines",13159.14469,104.6,35.09859301
Oil India Ltd,OIL,Oil & Gas - Exploration & Production,13034.55043,112.65,3.201581029
Carborundum Universal Ltd,CARBORUNIV,Industrial Machinery,12924.30425,500.75,34.79444776
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,Pharmaceuticals,12888.58433,1217.75,35.25555882
Phoenix Mills Ltd,PHOENIXLTD,Real Estate,12876.58851,719.8,32.98086023
Metropolis Healthcare Ltd,METROPOLIS,Hospitals & Diagnostic Centres,12694.09376,2474.95,97.97292209
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,Fertilizers & Agro Chemicals,12651.15563,225.35,7.64909512
ICICI Securities Ltd,ISEC,Investment Banking & Brokerage,12621.75811,390.15,23.18883159
RBL Bank Ltd,RBLBANK,Private Banks,12621.2205,188.65,17.64012698
Ratnamani Metals and Tubes Ltd,RATNAMANI,Building Products - Pipes,12571.81242,1998.1,30.35838621
Blue Dart Express Ltd,BLUEDART,Logistics,12557.41587,5234.1,-297.0649841
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Specialty Chemicals,12536.07654,5891.65,59.68728104
Suven Pharmaceuticals Ltd,SUVENPHAR,Pharmaceuticals,12529.68713,480.55,19.29417556
Prestige Estates Projects Ltd,PRESTIGE,Real Estate,12510.89222,300.9,28.95767448
Shriram City Union Finance Ltd,SHRIRAMCIT,Consumer Finance,12439.64333,1400.1,9.035757164
Galaxy Surfactants Ltd,GALAXYSURF,Specialty Chemicals,12419.43793,2592.9,39.8987138
Happiest Minds Technologies Ltd,HAPPSTMNDS,IT Services & Consulting,12371.28725,621.65,31.95911622
Castrol India Ltd,CASTROLIND,Commodity Chemicals,12364.0298,122.7,20.83191851
Motilal Oswal Financial Services Ltd,MOTILALOFS,Diversified Financials,12310.37498,615.65,49.31160695
UTI Sensex 30 ETF,UTISENSETF,Equity,12300.9163,502.45,
India Grid Trust,INDIGRID,Power Transmission & Distribution,12233.11896,128.05,11.36920645
Quess Corp Ltd,QUESS,Employment Services,12215.82451,606.15,-20.00887418
Bajaj Electricals Ltd,BAJAJELEC,Home Electronics & Appliances,12174.66992,1049.25,-1236.539333
KIOCL Ltd,KIOCL,Iron & Steel,12143.48625,147.25,210.6706682
Route Mobile Ltd,ROUTE,IT Services & Consulting,12136.53165,1539.05,132.061953
Computer Age Management Services Ltd,CAMS,Diversified Financials,12061.92717,1797.5,50.56756602
CreditAccess Grameen Ltd,CREDITACC,Consumer Finance,12028.72493,562.05,24.22583953
Intellect Design Arena Ltd,INTELLECT,Software Services,12017.75475,651.8,538.6389646
Sterlite Technologies Ltd,STLTECH,Telecom Equipments,11913.25249,215.4,20.01596681
BASF India Ltd,BASF,Diversified Chemicals,11702.38528,1940.4,453.755443
Finolex Industries Ltd,FINPIPE,Building Products - Pipes,11627.50858,676.1,25.22197117
Blue Star Ltd,BLUESTARCO,Home Electronics & Appliances,11466.0942,867.9,58.35310534
Bombay Burmah Trading Corporation Ltd,BBTC,Tea & Coffee,11408.95781,1185.45,13.83303721
Symphony Ltd,SYMPHONY,Home Electronics & Appliances,11390.88812,1177.05,45.38048325
DCM Shriram Ltd,DCMSHRIRAM,Diversified Chemicals,11281.65481,528.25,12.08334164
Poly Medicure Ltd,POLYMED,Health Care Equipment & Supplies,11058.94979,845.75,77.85377993
Eris Lifesciences Ltd,ERIS,Pharmaceuticals,10826.46587,592.05,27.28718053
Housing and Urban Development Corporation Ltd,HUDCO,Specialized Finance,10676.39614,40.1,4.699460836
HEG Ltd,HEG,Electrical Components & Equipments,10653.27923,2044.8,116.6801333
Granules India Ltd,GRANULES,Pharmaceuticals,10619.76883,316.8,24.01408057
Strides Pharma Science Ltd,STAR,Pharmaceuticals,10564.33242,872.4,214.7016676
CESC Ltd,CESC,Power Generation,10359.18151,590.15,6.038019886
Edelweiss Bharat Bond ETF-April 2023 ETF,EBBETF0423,Debt,10302.87383,1120.7,
Welspun India Ltd,WELSPUNIND,Textiles,10290.06165,77.75,15.39652278
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals,10288.37996,707.7,39.59904493
IDFC Ltd,IDFC,Diversified Financials,10280.14438,48.25,-7.741912629
Dilip Buildcon Ltd,DBL,Construction & Engineering,10241.11522,558.45,21.34865331
Asahi India Glass Ltd,ASAHIINDIA,Auto Parts,10138.29873,313.65,49.60002398
JM Financial Ltd,JMFINANCIL,Investment Banking & Brokerage,10117.575,79.9,12.32378924
Multi Commodity Exchange of India Ltd,MCX,Stock Exchanges & Ratings,10083.38464,1489.4,32.11711238
Firstsource Solutions Ltd,FSL,Outsourced services,10077.37937,111.8,22.79137168
Orchid Pharma Ltd,ORCHPHARMA,Pharmaceuticals,10012.75907,1858.35,-92.00351492
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals,9988.155286,2449.65,45.5796882
Indiabulls Housing Finance Ltd,IBULHSGFIN,Home Financing,9963.164687,168.6,3.244225718
NBCC (India) Ltd,NBCC,Construction & Engineering,9929.700557,41.3,93.0762489
KPR Mill Ltd,KPRMILL,Textiles,9862.712696,1076.95,20.20936416
Central Depository Services (India) Ltd,CDSL,Stock Exchanges & Ratings,9686.945106,706.15,69.51080916
Cyient Ltd,CYIENT,Software Services,9681.38412,662.55,21.32205778
Aster DM Healthcare Ltd,ASTERDM,Hospitals & Diagnostic Centres,9677.045623,142.95,25.96141353
Birla Corporation Ltd,BIRLACORPN,Cement,9629.872,922.1,14.05570895
Birlasoft Ltd,BSOFT,IT Services & Consulting,9493.761263,256.85,31.53252398
Brookfield India Real Estate Trust REIT,BIRET,Real Estate,9411.01555,234.38,93.26248196
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches",9365.711677,68.35,40.11620628
Punjab & Sind Bank,PSB,Public Banks,9336.72168,17.35,-1.108433641
UTI Asset Management Company Ltd,UTIAMC,Asset Management,9241.36313,545.4,25.32920626
Vardhman Textiles Ltd,VTL,Textiles,9193.062646,1199.6,11.7348986
Capri Global Capital Ltd,CGCL,Consumer Finance,9129.772959,393.75,42.76812793
Lakshmi Machine Works Ltd,LAXMIMACH,Industrial Machinery,9026.683325,6449.1,248.0941134
Radico Khaitan Ltd,RADICO,Alcoholic Beverages,8965.7855,511.05,29.76815288
Johnson Controls-Hitachi Air Conditioning India Ltd,JCHAC,Home Electronics & Appliances,8951.554341,2498.05,81.31711694
Fertilisers And Chemicals Travancore Ltd,FACT,Fertilizers & Agro Chemicals,8949.134889,104.85,6.95480323
EPL Ltd,EPL,Packaging,8880.100417,212.6,32.3604918
Trident Ltd,TRIDENT,Textiles,8770.189081,13.4,19.64588175
NLC India Ltd,NLCINDIA,Metals - Diversified,8742.83186,47.95,4.61291864
Narayana Hrudayalaya Ltd,NH,Hospitals & Diagnostic Centres,8715.273038,411.95,70.7984469
Vakrangee Ltd,VAKRANGEE,Outsourced services,8605.372162,62.7,93.1750416
PVR Ltd,PVR,Theatres,8543.375262,1087.35,199.0545414
SBI Nifty 50 ETF,SETFNIF50,Equity,8474.875,147.04,
Bajaj Consumer Care Ltd,BAJAJCON,FMCG - Personal Products,8359.154198,269.95,21.55099859
Sunteck Realty Ltd,SUNTECK,Real Estate,8359.08234,271.35,37.97878757
Astrazeneca Pharma India Ltd,ASTRAZEN,Pharmaceuticals,8287,3389.95,117.3642847
Rashtriya Chemicals and Fertilizers Ltd,RCF,Fertilizers & Agro Chemicals,8271.109886,71.75,19.11052053
Hathway Cable and Datacom Ltd,HATHWAY,Cable & D2H,8234.288685,22.25,37.96859648
IndoStar Capital Finance Ltd,INDOSTAR,Consumer Finance,8136.423292,315.2,-8.967418153
Hemisphere Properties India Ltd,HEMIPROP,Real Estate,8109.098954,136.3,-2556.073355
Nippon India Nifty Bank Bees ETF,BANKBEES,Equity,8039.655177,309.68,
Home First Finance Company India Ltd,HOMEFIRST,Home Financing,8038.893561,442.6,25.3057073
Welspun Corp Ltd,WELCORP,Iron & Steel,8027.619,148,6.126613366
Maharashtra Scooters Ltd,MAHSCOOTER,Two Wheelers,7892.009067,3359.15,21.3374134
Suprajit Engineering Ltd,SUPRAJIT,Auto Parts,7846.337537,271.6,36.54580439
Valiant Organics Ltd,VALIANTORG,Commodity Chemicals,7823.767299,1386.2,36.05054207
Mahindra Logistics Ltd,MAHLOG,Logistics,7822.853893,519.75,67.41330059
Kama Holdings Ltd,KAMAHOLD,,7822.853893,5769.15,7.020746436
Tasty Bite Eatables Ltd,TASTYBITE,Packaged Foods & Meats,7815.691308,14445.35,90.7387224
Railtel Corporation of India Ltd,RAILTEL,Communication & Networking,7774.0845,114.2,25.98452044
IRB Infrastructure Developers Ltd,IRB,Construction & Engineering,7702.428875,104.15,5.077756777
Network18 Media & Investments Ltd,NETWORK18,Movies & TV Serials,7637.907694,34.95,-15.29347593
Spandana Sphoorty Financial Ltd,SPANDANA,Consumer Finance,7624.515686,567.85,10.01287932
Sudarshan Chemical Industries Ltd,SUDARSCHEM,Diversified Chemicals,7620.582214,526.3,25.21056025
Nesco Ltd,NESCO,Real Estate,7612.254461,506.5,15.25778954
Hinduja Global Solutions Ltd,HGS,Outsourced services,7595.697079,1700.7,17.56152429
Moil Ltd,MOIL,Mining - Manganese,7592.217435,148.5,14.80503382
Praj Industries Ltd,PRAJIND,Construction & Engineering,7585.115694,191.95,49.85574292
Gulf Oil Lubricants India Ltd,GULFOILLUB,Commodity Chemicals,7510.621021,699.6,17.25475885
HMT Ltd,HMT,Industrial Machinery,7508.582488,29.2,4.184054434
Tata Steel Long Products Ltd,TATASTLLP,Iron & Steel,7434,777.85,-4.757354136
Jindal Stainless Ltd,JSL,Iron & Steel,7410.49295,71.5,48.44477187
Indiabulls Real Estate Ltd,IBREALEST,Real Estate,7379.2675,77.1,28.91790336
Can Fin Homes Ltd,CANFINHOME,Home Financing,7356.765406,512.15,18.13163306
Isgec Heavy Engineering Ltd,ISGEC,,7290.919637,472.45,23.72559555
Nippon India Nifty 50 Bees ETF,NIFTYBEES,Equity,7104.68709,154.08,
